nummer;id;version;resolution;seed;profession;race1;race2;gender1;gender2;large1;large2;position1;position2;machtposition1;machtposition2
299;v3_5_doctor_00019;3_5;1024x1024;3.10403E+13;doctor;2;1;2;1;2;1;1;2;1;2
300;v3_5_doctor_00020;3_5;1024x1024;3.10403E+13;doctor;1;1;2;2;3;3;1;2;1;2
301;v3_5_doctor_00021;3_5;1024x1024;3.10403E+13;doctor;1;1;2;1;2;1;3;3;3;3
302;v3_5_doctor_00022;3_5;1024x1024;3.10403E+13;doctor;2;2;1;2;1;2;3;3;3;3
303;v3_5_doctor_00023;3_5;1024x1024;3.10403E+13;doctor;1;2;2;1;2;1;2;1;3;3
304;v3_5_doctor_00024;3_5;1024x1024;3.10403E+13;doctor;2;2;1;2;3;3;2;1;1;2
305;v3_5_doctor_00025;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;1;2
306;v3_5_doctor_00026;3_5;1024x1024;3.10403E+13;doctor;1;2;1;2;3;3;3;3;3;3
307;v3_5_doctor_00027;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;2;1;2;1;3;3
308;v3_5_doctor_00028;3_5;1024x1024;3.10403E+13;doctor;2;1;2;1;2;1;1;2;2;1
309;v3_5_doctor_00029;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;3;3
310;v3_5_doctor_00030;3_5;1024x1024;3.10403E+13;doctor;2;1;2;1;2;1;2;1;3;3
311;v3_5_doctor_00031;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;3;3;3;3;3;3
312;v3_5_doctor_00032;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3
313;v3_5_doctor_00033;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3
314;v3_5_doctor_00034;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;1;2
315;v3_5_doctor_00035;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;1;2
